0,1
SJSU,SDSU
NoTX,Wyo
Wake,GASO
Rice,UTEP
Hou,TTU
Bay,Ore
UNLV,Ariz
UVA,Rutg
ArSt,FIU
Cal,OrSt
OU,AF
BoSt,FrSt
JMU,Syr
USC,WSU
NCSU,USCe
Tol,NW
Buff,Temp
Clem,UF
SoAL,Mia
WKU,Ohio
Mich,KSU
FSU,GT
UNC,UCF
SMU,UTex
ODU,BC
Louv,Mizz
Duke,Navy
Kent,CMU
UCLA,Utah
Mars,OhSt
App,Troy
OkSt,Wash
ECU,GaSt
Purd,Minn
UNM,Hawa
WVU,Mary
EMU,MiaO
WMU,Bowl
MSU,Pitt
Tenn,UGA
Akr,MidT
CCar,FAU
Nev,Colo
LaTe,SoMS
UK,Ind
USF,Tuln
Lous,UTSA
Stan,ASU
CoSt,UtSt
Neb,TCU
Tuls,TxSt
PaSt,Cinc
KU,Wisc
Ball,Vand
Memp,IaSt
Ill,Iowa
VPI,Char
NIU,ULM
